"Year"	"Level"	"Grade"	"District Name"	"District Number"	"School Name"	"School Number"	"Agency Type"	"Agency Key"	"CESA"	"Total Enrollment-WSAS"	"Item Type"	"Subject"	"Subject Code "	"Number Tested on WKCE in Subject"	"Percent of Enrolled who were Tested on WKCE in Subject"	"Standard/Framework Name"	"Standard/Framework Code"	"Filler"	"Item Number"	"Depth of Knowledge"	"Average(SR) Total(CR)"	"Number of Responses(SR) Points Possible(CR)"	"Correct Response"	"State PCNT Correct Response(SR) State Avg(CR)"	"CESA PCNT Correct Response(SR) CESA Avg(CR)"	"District PCNT Correct Response(SR) District Avg(CR)"	"School PCNT Correct Response(SR) School Avg(CR)"	"Difference:  Current Level Minus State(SR)"	"Difference: Current Level Minus CESA(SR)"	"Difference: Current Level Minus District(SR)"	"Number Answering A or F (1)(SR) 0 Points(CR)"	"Number Answering B or G (2)(SR) 1 Point(CR)"	"Number Answering C or H (3)(SR) 2 Points(CR)"	"Number Answering D or J (4)(SR) 3 Points(CR)"	"Number Answering E or K (5)(SR) 4 Points(CR)"	"Number left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) Number 6 Points(CR)"	"Unused(SR) Number Left Blank or Erased(CR)"	"Unused(SR) Number Off Topic or Illegible(CR)"	"Percent Answering A or F (1)(SR) 0 Points(CR)"	"Percent Answering B or G (2)(SR) 1 Point(CR)"	"Percent Answering C or H (3)(SR) 2 Points(CR)"	"Percent Answering D or J (4)(SR) 3 Points(CR)"	"Percent Answering E or K (5)(SR) 4 Points(CR)"	"Percent Left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) PCNT 6 Points(CR)"	"Unused(SR) PCNT Left Blank or Erased(CR)"	"Unused(SR) PCNT Off Topic or Illegible(CR)"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Reading"		129	99	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.0"	" 1.0"	"-0.5"		" 0.0"	"   45"	"   27"	"   42"	"    7"	"    0"	"    0"	"    0"	"    8"	"    0"	" 35"	" 21"	" 33"	"  5"	"  0"	"  0"	"  0"	"  6"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Reading"		129	99	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.0"	" 1.0"	"-0.5"		" 0.0"																		
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Reading"		129	99	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"	"   83"	"   30"	"    8"	"    1"	"    0"	"    0"	"    0"	"    7"	"    0"	" 64"	" 23"	"  6"	"  1"	"  0"	"  0"	"  0"	"  5"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Reading"		129	99	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"																		
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"	"   75"	"   44"	"    1"	"    0"	"    0"	"    0"	"    0"	"    9"	"    0"	" 58"	" 34"	"  1"	"  0"	"  0"	"  0"	"  0"	"  7"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.3"	" 1.3"	" 0.0"		" 0.0"	"   23"	"   34"	"   66"	"    0"	"    0"	"    0"	"    0"	"    6"	"    0"	" 18"	" 26"	" 51"	"  0"	"  0"	"  0"	"  0"	"  5"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.2"	" 1.2"	"-0.1"		" 0.0"	"   40"	"   14"	"   69"	"    0"	"    0"	"    0"	"    0"	"    6"	"    0"	" 31"	" 11"	" 53"	"  0"	"  0"	"  0"	"  0"	"  5"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 2.8"	" 2.8"	"-0.5"		" 0.0"																		
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.2"	" 0.2"	"-0.3"		" 0.0"	"   94"	"   30"	"    0"	"    0"	"    0"	"    0"	"    0"	"    5"	"    0"	" 73"	" 23"	"  0"	"  0"	"  0"	"  0"	"  0"	"  4"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.6"	" 0.6"	"+0.1"		" 0.0"	"   48"	"   78"	"    0"	"    0"	"    0"	"    0"	"    0"	"    3"	"    0"	" 37"	" 60"	"  0"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 0.8"	" 0.8"	"-0.2"		" 0.0"																		
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.7"	" 0.7"	"-0.1"		" 0.0"	"   58"	"   53"	"   16"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 45"	" 41"	" 12"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.7"	" 0.7"	"-0.1"		" 0.0"																		
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"	"   31"	"   96"	"    0"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 24"	" 74"	"  0"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"BROWN DEER"	"0721"	"BROWN DEER MI H"	"0040"	"04"	"05406"	"01"	130	"CR"	"Mathematics"		129	99	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.7"	" 0.7"	" 0.0"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Reading"		81	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.4"	" 1.4"	"-0.1"		" 0.0"	"   26"	"    7"	"   35"	"   13"	"    0"	"    0"	"    0"	"    0"	"    0"	" 32"	"  9"	" 43"	" 16"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Reading"		81	100	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.4"	" 1.4"	"-0.1"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Reading"		81	100	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.6"	" 0.6"	" 0.0"		" 0.0"	"   48"	"   23"	"    4"	"    6"	"    0"	"    0"	"    0"	"    0"	"    0"	" 59"	" 28"	"  5"	"  7"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Reading"		81	100	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.6"	" 0.6"	" 0.0"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.9"	" 0.9"	"+0.3"		" 0.0"	"   10"	"   71"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 12"	" 88"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.5"	" 1.5"	"+0.2"		" 0.0"	"   18"	"    4"	"   58"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 22"	"  5"	" 72"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.6"	" 1.6"	"+0.3"		" 0.0"	"   11"	"   14"	"   56"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 14"	" 17"	" 69"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 3.9"	" 3.9"	"+0.6"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.7"	" 0.7"	"+0.2"		" 0.0"	"   22"	"   59"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 27"	" 73"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.6"	" 0.6"	"+0.1"		" 0.0"	"   35"	"   45"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 43"	" 56"	"  0"	"  0"	"  0"	"  0"	"  0"	"  1"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 1.3"	" 1.3"	"+0.3"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 1.0"	" 1.0"	"+0.2"		" 0.0"	"   24"	"   34"	"   23"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 30"	" 42"	" 28"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 1.0"	" 1.0"	"+0.2"		" 0.0"																		
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"	"   18"	"   63"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 22"	" 78"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"BRUCE GUADAL"	"8123"	"BRUCE GUADALUPE"	"0100"	"49"	"00464"	"01"	81	"CR"	"Mathematics"		81	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.8"	" 0.8"	"+0.1"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Reading"		18	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.3"	" 1.3"	"-0.2"		" 0.0"	"    6"	"    2"	"    8"	"    2"	"    0"	"    0"	"    0"	"    0"	"    0"	" 33"	" 11"	" 44"	" 11"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Reading"		18	100	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.3"	" 1.3"	"-0.2"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Reading"		18	100	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.5"	" 0.5"	"-0.1"		" 0.0"	"   12"	"    4"	"    1"	"    1"	"    0"	"    0"	"    0"	"    0"	"    0"	" 67"	" 22"	"  6"	"  6"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Reading"		18	100	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.5"	" 0.5"	"-0.1"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.4"	" 0.4"	"-0.2"		" 0.0"	"   11"	"    7"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 61"	" 39"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 1.2"	" 1.2"	"-0.1"		" 0.0"	"    4"	"    5"	"    8"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 22"	" 28"	" 44"	"  0"	"  0"	"  0"	"  0"	"  6"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 1.1"	" 1.1"	"-0.2"		" 0.0"	"    5"	"    3"	"    8"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 28"	" 17"	" 44"	"  0"	"  0"	"  0"	"  0"	" 11"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 2.6"	" 2.6"	"-0.7"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.1"	" 0.1"	"-0.4"		" 0.0"	"   16"	"    2"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 89"	" 11"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.5"	" 0.5"	" 0.0"		" 0.0"	"    9"	"    9"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 50"	" 50"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 0.6"	" 0.6"	"-0.4"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.6"	" 0.6"	"-0.2"		" 0.0"	"    9"	"    8"	"    1"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 50"	" 44"	"  6"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.6"	" 0.6"	"-0.2"		" 0.0"																		
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.6"	" 0.6"	"-0.1"		" 0.0"	"    7"	"   11"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 39"	" 61"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CAPITOL WEST"	"8114"	"CAPITOL WEST AC"	"0100"	"49"	"72736"	"01"	18	"CR"	"Mathematics"		18	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.6"	" 0.6"	"-0.1"		" 0.0"																		
2014	3	"07"	"CEDARBURG"	"1015"	"WEBSTER MID"	"0100"	"04"	"00930"	"01"	208	"CR"	"Reading"		204	98	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 2.0"	" 2.0"	"+0.5"		" 0.0"	"   19"	"   27"	"   97"	"   61"	"    0"	"    0"	"    0"	"    0"	"    0"	"  9"	" 13"	" 48"	" 30"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"CEDARBURG"	"1015"	"WEBSTER MID"	"0100"	"04"	"00930"	"01"	208	"CR"	"Reading"		204	98	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 2.0"	" 2.0"	"+0.5"		" 0.0"																		
